index_id,date,open,high,low,close,source,fetched_at
nikkei225,2026-02-12,57639.84,57864.74,58015.08,57554.49,https://indexes.nikkei.co.jp/nkave/historical/nikkei_stock_average_daily_jp.csv,2026-03-21T05:06:26+00:00
nikkei225,2026-02-13,56941.97,57197.33,57407.25,56652.48,https://indexes.nikkei.co.jp/nkave/historical/nikkei_stock_average_daily_jp.csv,2026-03-21T05:06:26+00:00
nikkei225,2026-02-16,56806.41,57212.97,57219.20,56748.18,https://indexes.nikkei.co.jp/nkave/historical/nikkei_stock_average_daily_jp.csv,2026-03-21T05:06:26+00:00
nikkei225,2026-02-17,56566.49,56819.37,56926.24,56135.12,https://indexes.nikkei.co.jp/nkave/historical/nikkei_stock_average_daily_jp.csv,2026-03-21T05:06:26+00:00
nikkei225,2026-02-18,57143.84,56734.27,57392.89,56734.27,https://indexes.nikkei.co.jp/nkave/historical/nikkei_stock_average_daily_jp.csv,2026-03-21T05:06:26+00:00
nikkei225,2026-02-19,57467.83,57472.08,57709.82,57362.01,https://indexes.nikkei.co.jp/nkave/historical/nikkei_stock_average_daily_jp.csv,2026-03-21T05:06:26+00:00
nikkei225,2026-02-20,56825.70,56979.74,56979.74,56680.88,https://indexes.nikkei.co.jp/nkave/historical/nikkei_stock_average_daily_jp.csv,2026-03-21T05:06:26+00:00
nikkei225,2026-02-24,57321.09,56764.14,57421.67,56732.93,https://indexes.nikkei.co.jp/nkave/historical/nikkei_stock_average_daily_jp.csv,2026-03-21T05:06:26+00:00
nikkei225,2026-02-25,58583.12,57695.40,58875.17,57656.50,https://indexes.nikkei.co.jp/nkave/historical/nikkei_stock_average_daily_jp.csv,2026-03-21T05:06:26+00:00
nikkei225,2026-02-26,58753.39,58995.39,59332.43,58577.84,https://indexes.nikkei.co.jp/nkave/historical/nikkei_stock_average_daily_jp.csv,2026-03-21T05:06:26+00:00
nikkei225,2026-02-27,58850.27,58606.03,58924.17,58130.57,https://indexes.nikkei.co.jp/nkave/historical/nikkei_stock_average_daily_jp.csv,2026-03-21T05:06:26+00:00
nikkei225,2026-03-02,58057.24,57976.20,58365.21,57285.77,https://indexes.nikkei.co.jp/nkave/historical/nikkei_stock_average_daily_jp.csv,2026-03-21T05:06:26+00:00
nikkei225,2026-03-03,56279.05,57729.80,57890.76,56091.54,https://indexes.nikkei.co.jp/nkave/historical/nikkei_stock_average_daily_jp.csv,2026-03-21T05:06:26+00:00
nikkei225,2026-03-04,54245.54,55470.88,55701.27,53618.20,https://indexes.nikkei.co.jp/nkave/historical/nikkei_stock_average_daily_jp.csv,2026-03-21T05:06:26+00:00
nikkei225,2026-03-05,55278.06,55204.16,56619.98,54910.33,https://indexes.nikkei.co.jp/nkave/historical/nikkei_stock_average_daily_jp.csv,2026-03-21T05:06:26+00:00
nikkei225,2026-03-06,55620.84,54674.60,55686.56,54513.43,https://indexes.nikkei.co.jp/nkave/historical/nikkei_stock_average_daily_jp.csv,2026-03-21T05:06:26+00:00
nikkei225,2026-03-09,52728.72,54608.63,54608.63,51407.66,https://indexes.nikkei.co.jp/nkave/historical/nikkei_stock_average_daily_jp.csv,2026-03-21T05:06:26+00:00
nikkei225,2026-03-10,54248.39,53524.09,54694.89,53487.19,https://indexes.nikkei.co.jp/nkave/historical/nikkei_stock_average_daily_jp.csv,2026-03-21T05:06:26+00:00
