code,company_name,ticker_tse
5901,東洋製罐グループホールディングス,5901.T
5902,ホッカンホールディングス,5902.T
590A,ギフティグループ,590A.T
5911,横河ブリッジホールディングス,5911.T
5929,三和ホールディングス,5929.T
5930,文化シヤッター,5930.T
5932,三協立山,5932.T
5933,アルインコ,5933.T
5938,ＬＩＸＩＬ,5938.T
5943,ノーリツ,5943.T
5946,長府製作所,5946.T
5947,リンナイ,5947.T
5949,ユニプレス,5949.T
5957,日東精工,5957.T
5959,岡部,5959.T
5970,ジーテクト,5970.T
5975,東プレ,5975.T
5976,高周波熱錬,5976.T
5981,東京製綱,5981.T
5988,パイオラックス,5988.T
5989,エイチワン,5989.T
5991,日本発條,5991.T
6005,三浦工業,6005.T
6013,タクマ,6013.T
6027,弁護士ドットコム,6027.T
6036,ＫｅｅＰｅｒ技研,6036.T
6050,イー・ガーディアン,6050.T
6055,ジャパンマテリアル,6055.T
6058,ベクトル,6058.T
6062,チャーム・ケア・コーポレーション,6062.T
6070,キャリアリンク,6070.T
6071,ＩＢＪ,6071.T
6073,アサンテ,6073.T
6078,バリューＨＲ,6078.T
6080,Ｍ＆Ａキャピタルパートナーズ,6080.T
6088,シグマクシス・ホールディングス,6088.T
6089,ウィルグループ,6089.T
6098,リクルートホールディングス,6098.T
6099,エラン,6099.T
6101,ツガミ,6101.T
6103,オークマ,6103.T
6104,芝浦機械,6104.T
6113,アマダ,6113.T
6118,アイダエンジニアリング,6118.T
6134,ＦＵＪＩ,6134.T
6135,牧野フライス製作所,6135.T
6136,オーエスジー,6136.T
6140,旭ダイヤモンド工業,6140.T
6141,ＤＭＧ森精機,6141.T
6143,ソディック,6143.T
6146,ディスコ,6146.T
6151,日東工器,6151.T
6167,冨士ダイス,6167.T
6178,日本郵政,6178.T
6183,ベルシステム２４ホールディングス,6183.T
6184,鎌倉新書,6184.T
6191,エアトリ,6191.T
6194,アトラエ,6194.T
6196,ストライクグループ,6196.T
6200,インソース,6200.T
6209,リケンＮＰＲ,6209.T
6222,島精機製作所,6222.T
6235,オプトラン,6235.T
6237,イワキポンプ,6237.T
6238,フリュー,6238.T
6240,ヤマシンフィルタ,6240.T
